iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Dec 29, 2017"
Total Net Assets,"1,944,425,230.52"
Shares Outstanding,"16,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","7.22","198.22","708,115.00","140,362,555.30","140,362,555.30","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","7.02","106.94","1,276,741.00","136,534,682.54","136,534,682.54","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","5.42","29.52","3,569,436.00","105,369,750.72","105,369,750.72","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","5.09","60.67","1,630,764.00","98,938,451.88","98,938,451.88","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","3.91","114.02","667,291.00","76,084,519.82","76,084,519.82","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","3.72","74.41","972,901.00","72,393,563.41","72,393,563.41","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","2.66","151.36","341,771.00","51,730,458.56","51,730,458.56","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","1.69","254.76","129,081.00","32,884,675.56","32,884,675.56","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","1.60","53.58","580,108.00","31,082,186.64","31,082,186.64","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","1.38","52.47","512,239.00","26,877,180.33","26,877,180.33","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","1.35","99.31","265,097.00","26,326,783.07","26,326,783.07","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","1.30","144.29","175,079.00","25,262,148.91","25,262,148.91","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","1.28","146.13","170,818.00","24,961,634.34","24,961,634.34","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","1.20","513.71","45,430.00","23,337,845.30","23,337,845.30","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","1.16","51.37","439,022.00","22,552,560.14","22,552,560.14","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.16","142.67","157,804.00","22,513,896.68","22,513,896.68","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","1.04","53.86","376,803.00","20,294,609.58","20,294,609.58","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","1.01","59.58","330,784.00","19,708,110.72","19,708,110.72","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","1.01","171.74","114,376.00","19,642,934.24","19,642,934.24","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","1.01","50.56","387,208.00","19,577,236.48","19,577,236.48","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.94","146.05","125,216.00","18,287,796.80","18,287,796.80","Financials","2965839","US12572Q1058","NASDAQ"
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.92","114.98","156,015.00","17,938,604.70","17,938,604.70","Financials","2819118","US7443201022","New York Stock Exchange Inc."
