iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jan 31, 2018"
Total Net Assets,"2,170,510,233.38"
Shares Outstanding,"17,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","7.48","214.38","772,753.00","165,662,788.14","165,662,788.14","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","7.28","115.67","1,393,288.00","161,161,622.96","161,161,622.96","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","5.63","32.00","3,895,537.00","124,657,184.00","124,657,184.00","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","4.83","65.78","1,626,730.00","107,006,299.40","107,006,299.40","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","4.09","124.23","728,341.00","90,481,802.43","90,481,802.43","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","3.76","78.48","1,061,928.00","83,340,109.44","83,340,109.44","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","2.85","169.00","373,097.00","63,053,393.00","63,053,393.00","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","1.71","267.89","140,968.00","37,763,917.52","37,763,917.52","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","1.63","57.14","633,532.00","36,200,018.48","36,200,018.48","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","1.43","56.55","559,511.00","31,640,347.05","31,640,347.05","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","1.36","158.02","191,016.00","30,184,348.32","30,184,348.32","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","1.32","156.15","186,609.00","29,138,995.35","29,138,995.35","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","1.30","99.40","289,574.00","28,783,655.60","28,783,655.60","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","1.26","561.80","49,562.00","27,843,931.60","27,843,931.60","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","1.16","53.34","479,644.00","25,584,210.96","25,584,210.96","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.15","147.70","172,425.00","25,467,172.50","25,467,172.50","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","1.05","56.70","411,719.00","23,344,467.30","23,344,467.30","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","1.04","63.92","361,471.00","23,105,226.32","23,105,226.32","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.95","153.48","136,837.00","21,001,742.76","21,001,742.76","Financials","2965839","US12572Q1058","NASDAQ"
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.92","163.37","125,001.00","20,421,413.37","20,421,413.37","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.92","48.07","423,120.00","20,339,378.40","20,339,378.40","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.92","103.96","194,940.00","20,265,962.40","20,265,962.40","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.92","118.82","170,509.00","20,259,879.38","20,259,879.38","Financials","2819118","US7443201022","New York Stock Exchange Inc."
