iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"2,253,097,627.19"
Shares Outstanding,"18,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"JPM","JPMORGAN CHASE & CO","Equity","7.51","115.50","1,485,411.00","171,564,970.50","171,564,970.50","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","7.48","207.20","823,841.00","170,699,855.20","170,699,855.20","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","5.84","32.10","4,153,077.00","133,313,771.70","133,313,771.70","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","4.43","58.41","1,732,116.00","101,172,895.56","101,172,895.56","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","4.18","122.94","776,487.00","95,461,311.78","95,461,311.78","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","3.74","75.49","1,132,149.00","85,465,928.01","85,465,928.01","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","3.06","175.76","397,752.00","69,908,891.52","69,908,891.52","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","1.73","262.93","150,283.00","39,513,909.19","39,513,909.19","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","1.61","54.36","675,410.00","36,715,287.60","36,715,287.60","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","1.46","56.02","596,458.00","33,413,577.16","33,413,577.16","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","1.41","157.66","203,650.00","32,107,459.00","32,107,459.00","Financials","2692665","US6934751057","New York Stock Exchange Inc."
