iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 28, 2018"
Total Net Assets,"1,864,132,820.73"
Shares Outstanding,"15,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","7.87","214.11","685,353.00","146,740,930.83","146,740,930.83","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","7.15","112.84","1,181,573.00","133,328,697.32","133,328,697.32","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","5.16","29.46","3,265,722.00","96,208,170.12","96,208,170.12","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","4.87","150.09","604,463.00","90,723,851.67","90,723,851.67","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","4.30","52.56","1,523,871.00","80,094,659.76","80,094,659.76","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","3.83","222.61","320,733.00","71,398,373.13","71,398,373.13","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","3.40","71.74","884,753.00","63,472,180.22","63,472,180.22","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","1.53","52.81","538,354.00","28,430,474.74","28,430,474.74","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","1.48","224.24","123,444.00","27,681,082.56","27,681,082.56","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","1.42","106.49","248,228.00","26,433,799.72","26,433,799.72","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.21","145.30","154,983.00","22,519,029.90","22,519,029.90","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","1.19","136.19","163,233.00","22,230,702.27","22,230,702.27","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","1.17","133.64","162,866.00","21,765,412.24","21,765,412.24","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","1.16","46.57","466,191.00","21,710,514.87","21,710,514.87","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","1.11","49.15","422,739.00","20,777,621.85","20,777,621.85","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","1.09","170.21","119,740.00","20,380,945.40","20,380,945.40","Financials","2965839","US12572Q1058","NASDAQ"
"BLK","BLACKROCK INC","Equity","1.09","471.33","43,201.00","20,361,927.33","20,361,927.33","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","1.03","176.75","108,708.00","19,214,139.00","19,214,139.00","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.93","195.39","88,419.00","17,276,188.41","17,276,188.41","Financials","BYV2325","US78409V1044","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.89","53.24","312,347.00","16,629,354.28","16,629,354.28","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.88","50.99","323,423.00","16,491,338.77","16,491,338.77","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.88","46.72","349,751.00","16,340,366.72","16,340,366.72","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.87","111.33","145,844.00","16,236,812.52","16,236,812.52","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.86","94.93","168,198.00","15,967,036.14","15,967,036.14","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
