iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"May 31, 2017"
Total Net Assets,"1,617,835,072.31"
Shares Outstanding,"15,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","6.87","165.28","675,099.00","111,580,362.72","111,580,362.72","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","6.43","82.15","1,269,633.00","104,300,350.95","104,300,350.95","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","5.04","51.14","1,600,589.00","81,854,121.46","81,854,121.46","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","4.92","22.41","3,563,396.00","79,855,704.36","79,855,704.36","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","3.87","95.23","660,419.00","62,891,701.37","62,891,701.37","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","3.67","60.54","984,846.00","59,622,576.84","59,622,576.84","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","2.54","122.88","334,887.00","41,150,914.56","41,150,914.56","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","1.77","50.89","566,020.00","28,804,757.80","28,804,757.80","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","1.71","211.26","131,691.00","27,821,040.66","27,821,040.66","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","1.46","143.19","165,553.00","23,705,534.07","23,705,534.07","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","1.31","41.74","510,765.00","21,319,331.10","21,319,331.10","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","1.28","76.94","269,102.00","20,704,707.88","20,704,707.88","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","1.26","118.70","172,794.00","20,510,647.80","20,510,647.80","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.23","131.19","151,846.00","19,920,676.74","19,920,676.74","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","1.22","63.63","312,375.00","19,876,421.25","19,876,421.25","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","1.20","50.59","386,459.00","19,550,960.81","19,550,960.81","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","1.09","409.24","43,259.00","17,703,313.16","17,703,313.16","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","1.08","154.25","113,678.00","17,534,831.50","17,534,831.50","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","1.07","47.12","368,754.00","17,375,688.48","17,375,688.48","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","1.03","38.75","431,800.00","16,732,250.00","16,732,250.00","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.99","104.85","152,846.00","16,025,903.10","16,025,903.10","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.87","77.56","183,076.00","14,199,374.56","14,199,374.56","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.87","117.29","120,735.00","14,161,008.15","14,161,008.15","Financials","2965839","US12572Q1058","NASDAQ"
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.81","76.92","170,852.00","13,141,935.84","13,141,935.84","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.81","142.81","91,859.00","13,118,383.79","13,118,383.79","Financials","BYV2325","US78409V1044","New York Stock Exchange Inc."
