iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jul 31, 2017"
Total Net Assets,"1,828,683,190.64"
Shares Outstanding,"16,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","6.87","174.97","718,187.00","125,661,179.39","125,661,179.39","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","6.74","91.80","1,343,296.00","123,314,572.80","123,314,572.80","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","5.02","53.94","1,700,515.00","91,725,779.10","91,725,779.10","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","4.96","24.12","3,762,760.00","90,757,771.20","90,757,771.20","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","3.90","68.45","1,040,992.00","71,255,902.40","71,255,902.40","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","3.80","99.56","698,057.00","69,498,554.92","69,498,554.92","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","2.48","127.80","354,649.00","45,324,142.20","45,324,142.20","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","1.73","52.78","598,966.00","31,613,425.48","31,613,425.48","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","1.71","225.33","138,413.00","31,188,601.29","31,188,601.29","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","1.41","146.46","176,541.00","25,856,194.86","25,856,194.86","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","1.38","46.90","538,534.00","25,257,244.60","25,257,244.60","Financials","2262314","US6174464486","New York Stock Exchange Inc."
