iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 31, 2017"
Total Net Assets,"1,860,125,416.54"
Shares Outstanding,"17,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","7.20","181.16","738,163.00","133,725,609.08","133,725,609.08","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","6.75","90.89","1,380,661.00","125,488,278.29","125,488,278.29","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","4.97","23.89","3,867,425.00","92,392,783.25","92,392,783.25","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","4.80","51.07","1,747,815.00","89,260,912.05","89,260,912.05","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","4.00","103.52","717,474.00","74,272,908.48","74,272,908.48","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","3.92","68.03","1,069,948.00","72,788,562.44","72,788,562.44","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","2.61","133.30","364,514.00","48,589,716.20","48,589,716.20","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","1.71","223.74","142,262.00","31,829,699.88","31,829,699.88","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","1.70","51.25","615,626.00","31,550,832.50","31,550,832.50","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","1.38","141.42","181,453.00","25,661,083.26","25,661,083.26","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","1.36","45.50","553,512.00","25,184,796.00","25,184,796.00","Financials","2262314","US6174464486","New York Stock Exchange Inc."
