iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Mar 29, 2019"
Total Net Assets,"1,677,384,384.60"
Shares Outstanding,"14,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","7.69","200.89","642,497.00","129,071,222.33","129,071,222.33","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","6.53","101.23","1,081,833.00","109,513,954.59","109,513,954.59","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","5.38","156.19","578,271.00","90,320,147.49","90,320,147.49","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","4.88","27.59","2,967,928.00","81,885,133.52","81,885,133.52","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","4.19","235.45","298,250.00","70,222,962.50","70,222,962.50","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","3.90","48.32","1,352,837.00","65,369,083.84","65,369,083.84","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","2.88","62.22","776,956.00","48,342,202.32","48,342,202.32","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.71","197.06","145,756.00","28,722,677.36","28,722,677.36","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","1.49","109.30","228,492.00","24,974,175.60","24,974,175.60","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","1.43","48.19","497,129.00","23,956,646.51","23,956,646.51","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","1.30","191.99","113,167.00","21,726,932.33","21,726,932.33","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","1.26","140.08","151,455.00","21,215,816.40","21,215,816.40","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","1.16","164.58","118,213.00","19,455,495.54","19,455,495.54","Financials","2965839","US12572Q1058","NASDAQ"
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","1.11","182.21","102,088.00","18,601,454.48","18,601,454.48","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","1.10","122.66","149,874.00","18,383,544.84","18,383,544.84","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","1.08","42.20","429,091.00","18,107,640.20","18,107,640.20","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","1.05","128.00","137,312.00","17,575,936.00","17,575,936.00","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","1.03","210.55","82,141.00","17,294,787.55","17,294,787.55","Financials","BYV2325","US78409V1044","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","1.02","427.37","40,201.00","17,180,701.37","17,180,701.37","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","1.00","42.76","391,954.00","16,759,953.04","16,759,953.04","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.93","93.90","166,887.00","15,670,689.30","15,670,689.30","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"PLD","PROLOGIS REIT INC","Equity","0.89","71.95","208,276.00","14,985,458.20","14,985,458.20","Real Estate","B44WZD7","US74340W1036","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.87","50.43","290,247.00","14,637,156.21","14,637,156.21","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.85","76.14","187,840.00","14,302,137.60","14,302,137.60","Financials","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.83","72.09","192,926.00","13,908,035.34","13,908,035.34","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"AON","AON PLC CLASS A","Equity","0.81","170.70","79,300.00","13,536,510.00","13,536,510.00","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.80","42.57","316,285.00","13,464,252.45","13,464,252.45","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.75","81.69","154,595.00","12,628,865.55","12,628,865.55","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"EQIX","EQUINIX REIT INC","Equity","0.74","453.16","27,528.00","12,474,588.48","12,474,588.48","Real Estate","BVLZX12","US29444U7000","NASDAQ"
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.74","91.88","135,134.00","12,416,111.92","12,416,111.92","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","0.74","50.00","247,914.00","12,395,700.00","12,395,700.00","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.74","43.06","287,279.00","12,370,233.74","12,370,233.74","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.71","137.16","87,031.00","11,937,171.96","11,937,171.96","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.70","46.53","252,321.00","11,740,496.13","11,740,496.13","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","0.64","217.78","49,579.00","10,797,314.62","10,797,314.62","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","0.62","94.18","109,685.00","10,330,133.30","10,330,133.30","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"MCO","MOODYS CORP","Equity","0.59","181.09","54,907.00","9,943,108.63","9,943,108.63","Financials","2252058","US6153691059","New York Stock Exchange Inc."
