iShares U.S. Financials ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Apr 30, 2019"
Total Net Assets,"1,775,589,195.78"
Shares Outstanding,"14,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","7.81","216.71","610,369.00","132,273,065.99","132,273,065.99","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","7.06","116.05","1,030,251.00","119,560,628.55","119,560,628.55","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","5.32","164.43","547,731.00","90,063,408.33","90,063,408.33","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","4.69","30.58","2,596,154.00","79,390,389.32","79,390,389.32","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","4.26","254.24","284,124.00","72,235,685.76","72,235,685.76","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","3.69","48.41","1,292,273.00","62,558,935.93","62,558,935.93","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","3.10","70.70","743,849.00","52,590,124.30","52,590,124.30","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","1.60","195.30","138,712.00","27,090,453.60","27,090,453.60","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","1.51","53.32","481,209.00","25,658,063.88","25,658,063.88","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","1.51","117.23","217,735.00","25,525,074.05","25,525,074.05","Financials","2026082","US0258161092","New York Stock Exchange Inc."
